iter	AUC:type=Mu	MultiClass	Accuracy	F1:class=0	F1:class=1	F1:class=2	F1:class=3	F1:class=4	F1:class=5	F1:class=6
0	0.9466380138	1.945904081	0.7085308057	0.8285077951	0.5766233766	0.5977011494	0.8520971302	0.9980879541	0.5284738041	0.5675675676
1	0.9368358096	1.945881511	0.5651658768	0.7642857143	0	0.4006462036	0.810707457	0.98046875	0	0.4352773826
2	0.9571262477	1.945873345	0.6084123223	0.7810218978	0.06751054852	0.4517304189	0.810707457	0.9825242718	0.3841463415	0.4526627219
3	0.9547145596	1.945858543	0.6161137441	0.7838827839	0.279245283	0.4626865672	0.810707457	0.98046875	0.30625	0.4540059347
4	0.9603967288	1.945853407	0.63507109	0.7925925926	0.2676579926	0.4661654135	0.810707457	0.9844357977	0.4628099174	0.4692913386
5	0.9672934793	1.945850243	0.6504739336	0.7940630798	0.2941176471	0.4741873805	0.810707457	0.9844357977	0.5358090186	0.4904458599
6	0.9702733121	1.945844991	0.6605450237	0.7896678967	0.3357142857	0.4824902724	0.8091603053	0.9903288201	0.5572916667	0.5040650407
7	0.975111301	1.945839247	0.6771327014	0.7896678967	0.3719298246	0.5338345865	0.8129770992	0.9903288201	0.5684754522	0.5263157895
8	0.9761862626	1.945833669	0.6860189573	0.7955390335	0.3888888889	0.5444015444	0.8129770992	0.9980806142	0.5975308642	0.5257731959
9	0.9788574617	1.945825237	0.6889810427	0.7911275416	0.3859649123	0.5635359116	0.8192307692	0.9980806142	0.5670886076	0.5464098074
10	0.9799428814	1.945821951	0.6943127962	0.7940630798	0.4027777778	0.5640074212	0.8176583493	0.9980806142	0.5894206549	0.5534150613
11	0.9816687168	1.945813816	0.7091232227	0.7970204842	0.4300341297	0.6214285714	0.835589942	0.9961685824	0.5764411028	0.5656934307
12	0.981834029	1.945805515	0.7109004739	0.7940630798	0.4178082192	0.6285714286	0.8362235067	0.9961685824	0.57	0.5808823529
13	0.9788658884	1.945785181	0.6877962085	0.7867647059	0.409556314	0.5363128492	0.8299817185	0.9961685824	0.5309278351	0.5614678899
14	0.9801346039	1.945776528	0.6954976303	0.7955390335	0.4451827243	0.5420560748	0.8345588235	0.9961685824	0.5421994885	0.5688073394
15	0.979918245	1.945770225	0.6990521327	0.8014981273	0.474025974	0.5485074627	0.8376383764	0.9961685824	0.5388601036	0.5656934307
16	0.9796479622	1.945762195	0.7014218009	0.7925925926	0.4575163399	0.557195572	0.842883549	0.9961685824	0.5578947368	0.5688073394
17	0.9803168885	1.94575876	0.7055687204	0.7970204842	0.4724919094	0.5656192237	0.8444444444	0.9961685824	0.5662337662	0.5682656827
18	0.980744984	1.945748863	0.7079383886	0.8045112782	0.4935897436	0.5693160813	0.8513011152	0.9961685824	0.5581395349	0.5625
19	0.9812561468	1.945744812	0.7103080569	0.8068181818	0.5046728972	0.5687732342	0.853432282	0.9961685824	0.5691906005	0.5614678899
20	0.9821664857	1.945733649	0.7268957346	0.810707457	0.5508982036	0.6104129264	0.8672897196	0.9961685824	0.579787234	0.5746691871
21	0.9812850359	1.945711819	0.7298578199	0.8508946322	0.6519337017	0.5708884688	0.8501872659	0.9961685824	0.5736842105	0.5604395604
22	0.9816108788	1.945708118	0.7298578199	0.8475247525	0.6388888889	0.5762711864	0.851782364	0.9961685824	0.5736842105	0.5651376147
23	0.9823964882	1.945702043	0.7328199052	0.8441814596	0.6292134831	0.5996275605	0.851782364	0.9961685824	0.5729166667	0.5698324022
24	0.9829569908	1.945697412	0.7375592417	0.842519685	0.6384180791	0.6148148148	0.8566037736	0.9961685824	0.5758354756	0.574108818
25	0.9831994498	1.945691411	0.7428909953	0.8441814596	0.65	0.6288848263	0.8603773585	0.9961685824	0.5729166667	0.5817490494
26	0.9834908655	1.945685501	0.7417061611	0.8392156863	0.6348314607	0.6296296296	0.8566037736	0.9961685824	0.5766233766	0.5891181989
27	0.9836753261	1.945677807	0.7417061611	0.8375733855	0.6288951841	0.626641651	0.8603773585	0.9961685824	0.5736434109	0.5962962963
28	0.9835786694	1.945666445	0.7464454976	0.8359375	0.6267806268	0.6285714286	0.853974122	0.9961685824	0.5954198473	0.6127819549
29	0.9836594832	1.945659422	0.7446682464	0.8392156863	0.6324786325	0.6238185255	0.8560885609	0.9961685824	0.5909090909	0.6007604563
30	0.9833814194	1.945651912	0.740521327	0.8343079922	0.625	0.6101694915	0.8513761468	0.9961685824	0.5948717949	0.5965583174
31	0.9833049248	1.945645398	0.7417061611	0.8375733855	0.6327683616	0.6065259117	0.8513761468	0.9961685824	0.6020408163	0.5951035782
32	0.9835119242	1.945639245	0.7458530806	0.8441814596	0.6480446927	0.6171428571	0.8576709797	0.9961685824	0.6005089059	0.5924528302
33	0.9836427316	1.945634511	0.7458530806	0.8375733855	0.6324786325	0.6287878788	0.8608534323	0.9961685824	0.595959596	0.5973534972
34	0.9834073956	1.945624715	0.7505924171	0.8392156863	0.6363636364	0.6451612903	0.8667917448	0.9961685824	0.6134663342	0.5913370998
35	0.9836389476	1.945619489	0.7529620853	0.8359375	0.6381766382	0.6477272727	0.8716981132	0.9961685824	0.6184538653	0.5977443609
36	0.9833572532	1.945608574	0.740521327	0.8343079922	0.6420454545	0.605108055	0.8498168498	0.9961685824	0.5984654731	0.5893186004
37	0.9833221572	1.945599044	0.7411137441	0.8310679612	0.6402266289	0.6105675147	0.8545119705	0.9961685824	0.6035805627	0.584103512
38	0.983432609	1.945595522	0.7446682464	0.8310679612	0.6422535211	0.6240310078	0.8624535316	0.9961685824	0.6051282051	0.5851851852
39	0.9835467963	1.9455883	0.7529620853	0.8343079922	0.6573816156	0.6382978723	0.8672897196	0.9961685824	0.6153846154	0.6
40	0.9834969712	1.945577449	0.7523696682	0.8262548263	0.6271186441	0.6435452794	0.8640595903	0.9961685824	0.635	0.6045627376
41	0.9836925291	1.945571236	0.7535545024	0.8278529981	0.6348314607	0.6449136276	0.8672897196	0.9961685824	0.6365914787	0.6007604563
42	0.9837776643	1.945563893	0.7577014218	0.8246628131	0.6366197183	0.6513409962	0.8694029851	0.9961685824	0.65	0.6091954023
43	0.9838676372	1.945554594	0.7577014218	0.8230769231	0.6267806268	0.6551724138	0.872659176	0.9961685824	0.6486486486	0.6115384615
44	0.983953591	1.945547285	0.759478673	0.8183556405	0.6303724928	0.6653992395	0.8742964353	0.9961685824	0.6486486486	0.6124031008
45	0.9842556558	1.945538999	0.7648104265	0.8310679612	0.6404494382	0.6730038023	0.8775894539	0.9961685824	0.6520681265	0.6174757282
46	0.9846014323	1.945532202	0.7659952607	0.8310679612	0.6442577031	0.6742857143	0.8775894539	0.9961685824	0.6569343066	0.6174757282
47	0.9846476692	1.945527034	0.768957346	0.8310679612	0.651810585	0.6768642447	0.8775894539	0.9961685824	0.6634146341	0.6240310078
48	0.9846832331	1.945520822	0.7707345972	0.8310679612	0.6460674157	0.6845124283	0.8809073724	0.9961685824	0.6602409639	0.6317829457
49	0.9846288443	1.945513902	0.7701421801	0.8310679612	0.6478873239	0.6833013436	0.8809073724	0.9961685824	0.6554216867	0.6319845857
50	0.9846659209	1.945507022	0.7713270142	0.8310679612	0.649859944	0.6833013436	0.8809073724	0.9961685824	0.6666666667	0.6293436293
51	0.9849131018	1.945499122	0.7742890995	0.8343079922	0.6554621849	0.6946564885	0.8859315589	0.9961685824	0.6618705036	0.6305609284
52	0.9843267449	1.945476087	0.7618483412	0.8326848249	0.6554621849	0.6653919694	0.8773234201	0.9961685824	0.6339066339	0.6058252427
53	0.9843076531	1.945470601	0.7636255924	0.8294573643	0.6592178771	0.6641074856	0.8756957328	0.9961685824	0.6470588235	0.609375
54	0.9842974703	1.945464901	0.7665876777	0.8326848249	0.6666666667	0.6653846154	0.8777777778	0.9961685824	0.6486486486	0.6159844055
55	0.9842500215	1.945455873	0.7677725118	0.8326848249	0.6666666667	0.667953668	0.8826815642	0.9961685824	0.6550868486	0.612716763
56	0.984444817	1.945449043	0.7683649289	0.8326848249	0.6611570248	0.6743295019	0.8826815642	0.9961685824	0.6517412935	0.6162790698
57	0.9846069786	1.945439566	0.7707345972	0.8343079922	0.6648351648	0.6781609195	0.8826815642	0.9961685824	0.6584158416	0.6186770428
58	0.9847377574	1.945434627	0.7719194313	0.8359375	0.6684931507	0.679462572	0.8826815642	0.9961685824	0.6584158416	0.6213592233
59	0.9843455159	1.94542103	0.7612559242	0.8310679612	0.6555555556	0.662835249	0.8773234201	0.9961685824	0.64	0.6011560694
60	0.9843728152	1.945410873	0.7636255924	0.8278529981	0.649859944	0.6692307692	0.8789571695	0.9961685824	0.6417910448	0.6142034549
61	0.9845524321	1.945404029	0.7648104265	0.8310679612	0.6478873239	0.6730769231	0.8822429907	0.9961685824	0.6403940887	0.6156787763
62	0.9846721023	1.945399574	0.7659952607	0.8294573643	0.6478873239	0.6781609195	0.8843283582	0.9961685824	0.6437346437	0.6138996139
63	0.9847875882	1.945391064	0.7630331754	0.8294573643	0.6478873239	0.6742424242	0.8822429907	0.9961685824	0.6437346437	0.6003898635
64	0.9847465899	1.945380051	0.7582938389	0.8278529981	0.6342857143	0.6730038023	0.8838951311	0.9961685824	0.6191646192	0.6
65	0.9842695712	1.945355937	0.7523696682	0.8230769231	0.6140350877	0.66015625	0.8715083799	0.9961685824	0.625	0.5996204934
66	0.9844138021	1.945349803	0.7535545024	0.8230769231	0.6158357771	0.6614481409	0.8715083799	0.9961685824	0.625	0.6049149338
67	0.9842891015	1.945339975	0.7529620853	0.8246628131	0.6198830409	0.6589147287	0.8731343284	0.9961685824	0.621686747	0.6007604563
68	0.9843262956	1.94533331	0.7535545024	0.8246628131	0.6158357771	0.6601941748	0.8731343284	0.9961685824	0.621686747	0.6060606061
69	0.984460929	1.945329626	0.7535545024	0.8246628131	0.6117647059	0.665377176	0.8747663551	0.9961685824	0.6168674699	0.6060606061
70	0.9843265363	1.945311552	0.7494075829	0.8214971209	0.6135693215	0.6471734893	0.8676470588	0.9961685824	0.6183574879	0.6003824092
71	0.9843381156	1.945300676	0.7464454976	0.8183556405	0.6094674556	0.64453125	0.8676470588	0.9961685824	0.6120481928	0.5938697318
72	0.9844533726	1.945297174	0.7482227488	0.8214971209	0.6135693215	0.6457925636	0.8676470588	0.9961685824	0.6153846154	0.5965583174
73	0.9844213117	1.945287183	0.7452606635	0.8214971209	0.6053412463	0.6434108527	0.8692449355	0.9961685824	0.6142857143	0.584139265
