iter	Passed	Remaining
0	234	233980
1	249	124708
2	403	134104
3	435	108392
4	630	125568
5	919	152310
6	1076	152778
7	1272	157759
8	1452	159885
9	1669	165259
10	1874	168493
11	2063	169858
12	2203	167306
13	2222	156523
14	2365	155305
15	2535	155914
16	2606	150699
17	2734	149180
18	2863	147869
19	2994	146712
20	3135	146169
21	3152	140141
22	3274	139075
23	3403	138428
24	3586	139889
25	3714	139143
26	3840	138384
27	3965	137659
28	4095	137121
29	4221	136483
30	4345	135845
31	4502	136214
32	4700	137740
33	4954	140758
34	5090	140342
35	5225	139931
36	5467	142306
37	5670	143542
38	5802	142973
39	5931	142354
40	5955	139299
41	6081	138711
42	6208	138174
43	6336	137680
44	6475	137429
45	6684	138640
46	6861	139119
47	7083	140495
48	7300	141687
49	7466	141867
50	7668	142685
51	7874	143553
52	7914	141412
53	8018	140477
54	8153	140087
55	8221	138582
56	8345	138068
57	8471	137593
58	8638	137769
59	8765	137327
60	8803	135520
61	8926	135052
62	9053	134650
63	9186	134346
64	9316	134018
65	9333	132080
66	9455	131666
67	9622	131887
68	9689	130743
69	9811	130351
70	9934	129994
71	10058	129639
72	10187	129372
73	10311	129034
74	10328	127378
75	10446	127010
76	10577	126788
77	10736	126913
78	10864	126658
79	10989	126374
80	11116	126122
81	11256	126015
82	11382	125751
83	11507	125491
84	11676	125690
85	11803	125444
86	11929	125192
87	12057	124963
88	12194	124825
89	12322	124591
90	12449	124359
91	12581	124177
92	12606	122947
93	12754	122931
94	12880	122706
95	13006	122480
96	13133	122263
97	13275	122186
98	13401	121968
99	13532	121793
100	13692	121878
101	13825	121716
102	13952	121512
103	14079	121304
104	14215	121171
105	14343	120970
106	14473	120792
107	14542	120112
108	14699	120162
109	14838	120060
110	14965	119862
111	15093	119667
112	15239	119620
113	15306	118962
114	15437	118803
115	15566	118631
116	15741	118803
117	15868	118613
118	15992	118400
119	16030	117554
120	16154	117351
121	16177	116427
122	16199	115504
123	16337	115416
124	16461	115230
125	16586	115054
126	16733	115025
127	16874	114958
128	17002	114797
129	17129	114637
130	17153	113790
131	17225	113271
132	17397	113410
133	17550	113421
134	17715	113509
135	17913	113803
136	18003	113405
137	18159	113433
138	18327	113523
139	18454	113360
140	18582	113209
141	18708	113044
142	18882	113161
143	19009	113002
144	19137	112842
145	19265	112687
146	19405	112606
147	19533	112447
148	19661	112293
149	19798	112191
150	19956	112204
151	20080	112026
152	20207	111865
153	20331	111691
154	20476	111630
155	20601	111461
156	20726	111287
157	20882	111287
158	21018	111173
159	21144	111011
160	21183	110390
161	21309	110232
162	21447	110129
163	21574	109976
164	21598	109299
165	21720	109126
166	21852	109002
167	21915	108535
168	22051	108432
169	22177	108278
170	22305	108134
171	22456	108105
172	22475	107441
173	22598	107277
174	22725	107132
175	22850	106982
176	23013	107004
177	23139	106858
178	23266	106711
179	23392	106565
180	23488	106282
181	23616	106144
182	23655	105607
183	23777	105446
184	23793	104820
185	23928	104720
186	24082	104700
187	24209	104562
188	24335	104421
189	24462	104288
190	24613	104253
191	24739	104113
192	24865	103972
193	25027	103981
194	25162	103874
195	25230	103497
196	25354	103347
197	25487	103235
198	25504	102658
199	25653	102614
200	25780	102481
201	25907	102347
202	25924	101781
203	26111	101887
204	26264	101853
205	26393	101730
206	26431	101257
207	26553	101109
208	26718	101121
209	26871	101089
210	27028	101069
211	27081	100661
212	27268	100753
213	27399	100634
214	27574	100677
215	27813	100951
216	27848	100484
217	27988	100398
218	28226	100663
219	28407	100716
220	28551	100640
221	28724	100664
222	28836	100473
223	29048	100632
224	29251	100754
225	29387	100645
226	29527	100548
227	29680	100498
228	29887	100626
229	30023	100511
230	30202	100542
231	30383	100581
232	30516	100454
233	30652	100341
234	30809	100294
235	30943	100171
236	31013	99844
237	31080	99509
238	31206	99363
239	31434	99543
240	31622	99590
241	31848	99757
242	32013	99727
243	32160	99645
244	32363	99730
245	32584	99873
246	32719	99747
247	32938	99879
248	33107	99853
249	33247	99741
250	33486	99924
251	33687	99993
252	33752	99655
253	33962	99746
254	34094	99610
255	34231	99483
256	34362	99343
257	34547	99356
258	34572	98912
259	34584	98431
260	34709	98277
261	34839	98137
262	35001	98085
263	35139	97965
264	35308	97930
265	35543	98077
266	35693	97990
267	35836	97881
268	35974	97760
269	36074	97533
270	36207	97399
271	36335	97250
272	36466	97109
273	36632	97063
274	36762	96919
275	36890	96770
276	37020	96627
277	37176	96551
278	37304	96404
279	37433	96258
280	37610	96234
281	37836	96335
282	38009	96299
283	38177	96250
284	38340	96187
285	38474	96050
286	38564	95805
287	38816	95964
288	38978	95896
289	39113	95760
290	39218	95553
291	39352	95415
292	39484	95274
293	39616	95133
294	39795	95103
295	39866	94817
296	39996	94671
297	40166	94621
298	40355	94611
299	40514	94533
300	40644	94386
301	40816	94337
302	40970	94245
303	41052	93988
304	41256	94010
305	41485	94088
306	41640	93997
307	41852	94031
308	42000	93923
309	42042	93579
310	42232	93563
311	42337	93359
312	42590	93481
313	42734	93361
314	42866	93217
315	43055	93196
316	43240	93165
317	43386	93048
318	43546	92961
319	43732	92930
320	43921	92905
321	44150	92962
322	44301	92855
323	44509	92865
324	44786	93017
325	44969	92974
326	45151	92926
327	45317	92844
328	45528	92856
329	45882	93155
330	46083	93142
331	46368	93295
332	46538	93216
333	46671	93063
334	46740	92783
335	46971	92824
336	47101	92665
337	47230	92505
338	47360	92346
339	47532	92268
340	47547	91888
341	47674	91725
342	47804	91567
343	47832	91215
344	48042	91210
345	48195	91096
346	48362	91009
347	48557	90974
348	48685	90814
349	48820	90665
350	48956	90519
351	49139	90461
352	49300	90360
353	49438	90217
354	49596	90112
355	49764	90023
356	49924	89919
357	50062	89776
358	50231	89688
359	50303	89428
360	50457	89313
361	50586	89155
362	50756	89069
363	50887	88913
364	51017	88757
365	51150	88605
366	51270	88431
367	51408	88288
368	51539	88134
369	51668	87975
370	51843	87896
371	51972	87739
372	52111	87597
373	52345	87615
374	52481	87468
375	52636	87353
376	52811	87271
377	52964	87152
378	53162	87108
379	53189	86783
380	53327	86639
381	53546	86627
382	53741	86575
383	53963	86566
384	54179	86545
385	54369	86484
386	54619	86515
387	54788	86419
388	54926	86272
389	55002	86028
390	55140	85884
391	55269	85724
392	55404	85573
393	55562	85459
394	55626	85199
395	55662	84899
396	55785	84732
397	55913	84573
398	55989	84335
399	56199	84299
400	56337	84154
401	56480	84018
402	56713	84015
403	56870	83898
404	57023	83775
405	57199	83685
406	57342	83548
407	57471	83389
408	57602	83235
409	57773	83137
410	57913	82994
411	58043	82839
412	58068	82532
413	58199	82379
414	58367	82277
415	58568	82221
416	58584	81906
417	58716	81753
418	58902	81676
419	59040	81532
420	59080	81253
421	59215	81105
422	59233	80797
423	59411	80710
424	59452	80435
425	59581	80281
426	59716	80135
427	59741	79841
428	59867	79683
429	60061	79616
430	60196	79470
431	60329	79322
432	60534	79267
433	60668	79120
434	60801	78971
435	60979	78881
436	61142	78771
437	61275	78623
438	61418	78487
439	61523	78303
440	61666	78167
441	61867	78103
442	62103	78085
443	62138	77812
444	62290	77688
445	62457	77581
446	62610	77457
447	62766	77337
448	62844	77121
449	62968	76961
450	63112	76826
451	63314	76761
452	63446	76612
453	63578	76461
454	63715	76318
455	63847	76169
456	63980	76020
457	64115	75874
458	64301	75789
459	64459	75669
460	64585	75513
461	64651	75287
462	64777	75130
463	64904	74975
464	65031	74821
465	65162	74670
466	65326	74559
467	65503	74460
468	65630	74306
469	65669	74053
470	65795	73897
471	65933	73755
472	66079	73623
473	66223	73488
474	66405	73396
475	66551	73262
476	66621	73046
477	66642	72777
478	66769	72624
479	66897	72472
480	67038	72334
481	67173	72190
482	67305	72043
483	67478	71940
484	67620	71802
485	67745	71648
486	67874	71498
487	68003	71347
488	68129	71195
489	68254	71040
490	68292	70795
491	68326	70548
492	68346	70286
493	68466	70129
494	68644	70031
495	68769	69878
496	68895	69727
497	69019	69574
498	69147	69424
499	69272	69272
500	69398	69121
501	69523	68969
502	69691	68860
503	69826	68717
504	69950	68565
505	70076	68414
506	70200	68261
507	70326	68111
508	70364	67876
509	70427	67665
510	70548	67511
511	70673	67360
512	70868	67276
513	71004	67136
514	71135	66991
515	71271	66851
516	71402	66707
517	71531	66560
518	71655	66409
519	71722	66205
520	71889	66094
521	72030	65958
522	72159	65813
523	72284	65662
524	72408	65512
525	72531	65361
526	72658	65213
527	72781	65061
528	72943	64945
529	73092	64817
530	73220	64671
531	73343	64520
532	73467	64370
533	73592	64221
534	73716	64071
535	73732	63828
536	73765	63600
537	73887	63449
538	74054	63338
539	74244	63245
540	74260	63004
541	74382	62854
542	74508	62707
543	74633	62560
544	74759	62414
545	74887	62269
546	75012	62121
547	75176	62007
548	75356	61904
549	75485	61761
550	75610	61613
551	75734	61466
552	75859	61318
553	75987	61173
554	76112	61027
555	76256	60895
556	76416	60776
557	76542	60630
558	76666	60482
559	76689	60256
560	76808	60104
561	76931	59957
562	77059	59813
563	77213	59690
564	77408	59597
565	77574	59483
566	77731	59360
567	77813	59181
568	77961	59053
569	78119	58932
570	78246	58787
571	78370	58640
572	78552	58537
573	78680	58393
574	78806	58248
575	78930	58101
576	79055	57955
577	79180	57810
578	79307	57665
579	79434	57521
580	79599	57404
581	79755	57281
582	79883	57138
583	80008	56992
584	80134	56847
585	80257	56700
586	80384	56556
587	80510	56411
588	80680	56298
589	80832	56171
590	80959	56027
591	81085	55883
592	81208	55736
593	81332	55591
594	81459	55446
595	81585	55303
596	81602	55084
597	81635	54878
598	81796	54758
599	81950	54633
600	82076	54490
601	82205	54348
602	82331	54205
603	82455	54060
604	82495	53860
605	82626	53720
606	82751	53577
607	82930	53468
608	83064	53330
609	83191	53187
610	83321	53047
611	83442	52901
612	83566	52757
613	83690	52613
614	83815	52470
615	83982	52352
616	84142	52231
617	84270	52089
618	84396	51946
619	84521	51803
620	84645	51659
621	84770	51516
622	84895	51373
623	85038	51241
624	85230	51138
625	85268	50943
626	85390	50798
627	85519	50658
628	85643	50514
629	85768	50372
630	85891	50228
631	86019	50087
632	86185	49968
633	86338	49842
634	86465	49700
635	86592	49559
636	86716	49416
637	86839	49272
638	86963	49129
639	87030	48954
640	87154	48811
641	87336	48701
642	87470	48564
643	87494	48366
644	87616	48223
645	87743	48082
646	87868	47940
647	87991	47797
648	88117	47656
649	88242	47515
650	88410	47396
651	88574	47275
652	88704	47136
653	88727	46941
654	88849	46798
655	88916	46626
656	89039	46484
657	89106	46313
658	89227	46170
659	89354	46030
660	89517	45909
661	89617	45756
662	89741	45615
663	89871	45477
664	89995	45336
665	90119	45195
666	90242	45053
667	90366	44912
668	90493	44773
669	90517	44583
670	90691	44467
671	90825	44331
672	90952	44192
673	91080	44053
674	91205	43913
675	91330	43773
676	91454	43633
677	91581	43494
678	91748	43374
679	91904	43249
680	91970	43081
681	92096	42942
682	92224	42803
683	92370	42673
684	92502	42537
685	92631	42400
686	92772	42267
687	92996	42172
688	93122	42033
689	93252	41895
690	93376	41756
691	93502	41616
692	93627	41477
693	93754	41338
694	93881	41199
695	93952	41036
696	94118	40915
697	94241	40775
698	94280	40598
699	94402	40458
700	94526	40318
701	94651	40179
702	94777	40040
703	94906	39903
704	95072	39782
705	95279	39677
706	95405	39538
707	95539	39403
708	95666	39265
709	95793	39126
710	95919	38988
711	96049	38851
712	96214	38728
713	96381	38606
714	96506	38467
715	96631	38328
716	96756	38189
717	96882	38051
718	97008	37912
719	97021	37730
720	97176	37603
721	97389	37498
722	97568	37381
723	97733	37257
724	97891	37131
725	98048	37004
726	98180	36868
727	98311	36731
728	98328	36552
729	98500	36431
730	98707	36323
731	98839	36187
732	98975	36052
733	99045	35894
734	99170	35755
735	99296	35617
736	99420	35478
737	99564	35346
738	99704	35213
739	99836	35077
740	99960	34938
741	100086	34800
742	100215	34664
743	100341	34526
744	100466	34388
745	100593	34250
746	100777	34132
747	100908	33996
748	101036	33858
749	101163	33721
750	101288	33582
751	101415	33445
752	101542	33307
753	101665	33169
754	101832	33045
755	101925	32896
756	102051	32758
757	102176	32620
758	102189	32447
759	102309	32308
760	102347	32143
761	102471	32005
762	102596	31868
763	102721	31730
764	102845	31593
765	103033	31475
766	103171	31341
767	103297	31204
768	103422	31067
769	103549	30930
770	103674	30793
771	103797	30655
772	103922	30517
773	104095	30394
774	104267	30271
775	104394	30134
776	104517	29996
777	104643	29859
778	104774	29724
779	104798	29558
780	104919	29420
781	105046	29284
782	105210	29157
783	105295	29010
784	105427	28875
785	105557	28739
786	105684	28603
787	105812	28467
788	105939	28331
789	106064	28194
790	106189	28057
791	106366	27934
792	106533	27808
793	106658	27672
794	106783	27535
795	106911	27399
796	107039	27263
797	107106	27112
798	107229	26975
799	107356	26839
800	107552	26720
801	107687	26586
802	107811	26449
803	107935	26312
804	108077	26180
805	108201	26043
806	108327	25907
807	108464	25773
808	108659	25653
809	108833	25528
810	108966	25394
811	109128	25266
812	109370	25156
813	109537	25029
814	109882	24942
815	110126	24832
816	110300	24706
817	110522	24590
818	110659	24455
819	110788	24319
820	110977	24196
821	111187	24077
822	111319	23941
823	111502	23816
824	111676	23689
825	111748	23540
826	111879	23404
827	111952	23255
828	112212	23146
829	112514	23045
830	112689	22917
831	112890	22795
832	113085	22671
833	113228	22537
834	113252	22379
835	113442	22254
836	113593	22121
837	113721	21984
838	113850	21847
839	114061	21726
840	114217	21593
841	114350	21457
842	114525	21329
843	114718	21203
844	114858	21068
845	114988	20931
846	115153	20801
847	115283	20663
848	115411	20526
849	115541	20389
850	115740	20264
851	115880	20129
852	115893	19972
853	116021	19835
854	116148	19697
855	116316	19567
856	116445	19430
857	116579	19293
858	116711	19157
859	116918	19033
860	117062	18898
861	117188	18760
862	117317	18624
863	117487	18493
864	117615	18356
865	117742	18218
866	117869	18081
867	118067	17954
868	118208	17819
869	118221	17665
870	118239	17511
871	118362	17374
872	118489	17237
873	118665	17107
874	118794	16970
875	118921	16833
876	119048	16696
877	119137	16554
878	119328	16426
879	119346	16274
880	119380	16125
881	119503	15987
882	119629	15851
883	119797	15720
884	119923	15583
885	120052	15446
886	120180	15310
887	120406	15186
888	120446	15038
889	120570	14901
